criticalLevel,workType,responseTime,processingDuration,resolutionDuration,start,planned,replanned,postponed,occupant_absent,requested,class
zero,preventive,]4-16],]0-1],]4-16],True,False,False,False,False,True,TMH - visite entretien ventilation
zero,preventive,]72--[,]72--[,]72--[,True,True,True,False,True,False,TMH - visite entretien ventilation
one,corrective,]24-48],]0-1],]24-48],True,False,True,False,False,True,TMH - dépannage ventilation
zero,preventive,]2-4],]0-1],]2-4],True,True,False,False,False,False,TMH - visite entretien ventilation
zero,preventive,]72--[,]72--[,]72--[,True,True,True,False,False,True,TMH - visite entretien ventilation
one,corrective,]72--[,]0-1],]72--[,True,False,True,False,False,True,Dépannage
one,corrective,]24-48],]24-48],]48-72],True,False,True,True,False,True,TMH - dépannage ventilation
zero,corrective,]72--[,]24-48],]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
zero,preventive,]72--[,]2-4],]72--[,True,True,True,False,True,False,TMH - visite entretien ventilation
zero,preventive,]16-24],0,]16-24],True,True,True,False,False,False,TMH - visite entretien ventilation
zero,preventive,]72--[,0,]72--[,True,True,True,True,True,False,TMH - visite entretien ventilation
zero,preventive,]72--[,]72--[,]72--[,True,True,True,False,True,True,TMH - visite entretien ventilation
one,corrective,]4-16],]0-1],]4-16],True,True,False,False,False,True,TMH - dépannage ventilation
zero,preventive,]24-48],]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien caisson VMC sanitaire
zero,preventive,]24-48],]72--[,]72--[,True,True,True,False,False,True,TMH - visite entretien ventilation
zero,corrective,]4-16],]2-4],]16-24],True,False,True,False,False,True,TMH - dépannage ventilation
one,corrective,]72--[,]16-24],]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
one,corrective,]4-16],]4-16],]4-16],True,True,True,False,False,True,TMH - dépannage ventilation
zero,preventive,]72--[,]16-24],]72--[,True,True,False,False,False,False,TMH - visite entretien ventilation
zero,preventive,]72--[,]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien ventilation
zero,preventive,]4-16],]0-1],]4-16],True,True,False,False,False,False,TMH - visite entretien caisson VMC sanitaire
zero,preventive,]24-48],0,]24-48],True,True,True,False,False,True,TMH - visite entretien ventilation
one,corrective,]72--[,]72--[,]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
zero,preventive,]72--[,]48-72],]72--[,True,True,True,True,True,False,TMH - visite entretien ventilation
zero,preventive,]72--[,]4-16],]72--[,True,True,True,False,False,False,TMH - visite entretien ventilation
zero,preventive,]4-16],]72--[,]72--[,True,True,True,True,False,False,TMH - visite entretien ventilation
zero,preventive,]72--[,]72--[,]72--[,True,True,True,True,False,True,TMH - visite entretien ventilation
zero,corrective,]72--[,]16-24],]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
zero,preventive,]72--[,]2-4],]72--[,True,True,True,False,False,False,TMH - visite entretien ventilation
zero,preventive,]24-48],]0-1],]24-48],True,False,False,False,False,True,TMH - visite entretien ventilation
zero,preventive,0,]4-16],]4-16],True,False,True,False,False,False,TMH - visite entretien ventilation
zero,preventive,]2-4],0,]2-4],True,True,True,False,False,False,TMH - visite entretien ventilation
one,corrective,]48-72],]1-2],]48-72],True,False,True,False,False,True,TMH - dépannage ventilation
one,corrective,]48-72],]4-16],]48-72],True,False,True,False,False,True,TMH - dépannage ventilation
zero,corrective,]72--[,]1-2],]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
zero,preventive,0,]4-16],]4-16],True,False,True,True,False,False,TMH - visite entretien ventilation
zero,corrective,]72--[,]72--[,]72--[,True,False,True,True,False,True,TMH - dépannage ventilation
zero,preventive,]24-48],]72--[,]72--[,True,True,True,True,False,False,TMH - visite entretien caisson VMC sanitaire
zero,corrective,]72--[,]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
zero,preventive,]16-24],]0-1],]16-24],True,True,False,False,False,False,TMH - visite entretien caisson VMC sanitaire
zero,corrective,]24-48],]72--[,]72--[,True,True,True,True,False,True,TMH - dépannage ventilation
one,corrective,]16-24],0,]16-24],True,False,True,False,False,True,TMH - dépannage ventilation
zero,preventive,]72--[,]0-1],]72--[,True,False,False,False,False,True,TMH - visite entretien ventilation
zero,preventive,0,]48-72],]48-72],True,False,False,False,True,False,TMH - visite entretien ventilation
zero,preventive,]72--[,0,]72--[,False,True,True,False,False,False,TMH - visite entretien ventilation
one,corrective,]16-24],]0-1],]16-24],True,False,True,False,False,True,TMH - dépannage ventilation
